Id,Role,Gender,Age,Date of death,Age range,Num victims,Date,Day,Hr,Street Tipe,Street,Croos,Commune,Pos X,Pos Y,Victim,Accused,X coordinate,Y coordinate,Neighborhoods,Weekday
2018-0037,PEATON,MASCULINO,84,2018-04-19,80 -100,1,2018-04-18,18.0,18,AVENIDA,CORDOBA AV.,"URIBURU JOSE E., PRES.",Commune 2,-58.3987261,-34.59975962,PEATON,CARGAS,105923.35790409,103271.83194351,RECOLETA,Wednesday
2018-0038,PEATON,FEMENINO,59,2018-04-20,41 -60,2,2018-04-20,20.0,17,AVENIDA,RIVADAVIA AV.,,Commune 1,-58.38872177,-34.60885045,PEATON,AUTO,106840.31999667,102262.72809661,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Friday
2018-0038,PEATON,MASCULINO,61,2018-04-20,61 -80,2,2018-04-20,20.0,17,AVENIDA,RIVADAVIA AV.,,Commune 1,-58.38872177,-34.60885045,PEATON,AUTO,106840.31999667,102262.72809661,CONSTITUCION - MONTSERRAT - PUERTO MADERO - RETIRO - SAN NICOLAS - SAN TELMO,Friday
2018-0039,PEATON,MASCULINO,37,2018-04-21,25 -40,0,,,,,,,,,,,,,,,
2018-0040,PEATON,FEMENINO,0,2018-04-27,0 -24,1,2018-04-27,27.0,11,CALLE,"FREIRE, RAMON, CAP. GRAL.","OLAGUER Y FELIU, VIRREY",Commune 13,-58.45686132,-34.57305993,PEATON,CARGAS,100590.76036525,106235.55299971,BELGRANO - COLEGIALES - NUÃ‘EZ,Friday
2018-0041,PEATON,FEMENINO,78,2018-04-27,61 -80,1,2018-04-27,27.0,13,AVENIDA,LA PLATA AV.,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Commune 4,-58.42281627,-34.64282424,PEATON,PASAJEROS,103711.66698694,98495.65433114,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Friday
2018-0042,PASAJERO_ACOMPAÑANTE,MASCULINO,23,2018-04-27,0 -24,1,2018-04-27,27.0,18,CALLE,BRANDSEN,PERDRIEL,Commune 4,-58.38666024,-34.63953396,MOTO,CARGAS,107026.8375426,98858.75172681,BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS,Friday
2018-0043,CONDUCTOR,MASCULINO,25,2018-04-29,25 -40,1,2018-04-28,28.0,6,AVENIDA,"VILARDEBO, TEODORO",ALVAREZ JONTE AV.,Commune 11,-58.49122843,-34.61207587,MOTO,AUTO,97438.46582767,101907.03915052,VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA,Saturday
2018-0044,PEATON,FEMENINO,50,2018-04-28,41 -60,1,2018-04-28,28.0,9,AVENIDA,ALBERTI,INDEPENDENCIA AV.,Commune 3,-58.40098306,-34.61866627,PEATON,AUTO,105715.04318224,101174.58167004,BALVANERA - SAN CRISTOBAL,Saturday
2018-0045,CONDUCTOR,MASCULINO,60,2018-04-30,61 -80,1,2018-04-30,30.0,7,AVENIDA,ALVAREZ THOMAS AV.,,Commune 13,-58.45448963,-34.5791692,AUTO,CARGAS,100808.33159423,105557.81994917,BELGRANO - COLEGIALES - NUÃ‘EZ,Monday
